id,table_name,column_name,gt_label,expansion,gold_label
128,2003BeachPorewaterDINPDONSalinity.csv,Total Dissolved Inorganic Nitrogen,total dissolved inorganic nitrogen,,
129,2003BeachPorewaterDINPDONSalinity.csv,Total Dissolved Organic Nitrogen,total dissolved organic nitrogen,,
130,2003BeachPorewaterDINPDONSalinity.csv,Salinity,salinity,,
131,2003BeachPorewaterWrackdata.csv,YEAR,year,Year,1.0
132,2003BeachPorewaterWrackdata.csv,MONTH,month,Month,1.0
133,2003BeachPorewaterWrackdata.csv,DATE,date,Date,1.0
134,2003BeachPorewaterWrackdata.csv,SITE,site,Site,1.0
135,2003BeachPorewaterWrackdata.csv,TRANSECT,transect,Transect,1.0
136,2003BeachPorewaterWrackdata.csv,Macrocystis g,macrocystis grams,Macrocystis Grams,1.0
137,2003BeachPorewaterWrackdata.csv,Egregia g,egregia grams,Egregia Grams,1.0
138,2003BeachPorewaterWrackdata.csv,Other Brown g,other brown grams,Other Brown Algae Grams,0.0
139,2003BeachPorewaterWrackdata.csv,Phyllospadix g,phyllospadix grams,Phyllospadix Grams,1.0
140,2003BeachPorewaterWrackdata.csv,Zostera g,zostera grams,Zostera Grams,1.0
141,2003BeachPorewaterWrackdata.csv,Red g,red grams,Red Grams,1.0
142,2003BeachPorewaterWrackdata.csv,Green g,green grams,Green Grams,1.0
143,2003BeachPorewaterWrackdata.csv,Total Brown wrack g,total brown wrack grams,Total Brown wrack Grams,1.0
144,2003BeachPorewaterWrackdata.csv,Total Wrack g,total wrack grams,Total Wrack Grams,1.0
145,2003BeachPorewaterWrackdata.csv,Macrocystis kg,macrocystis kilograms,Macrocystis Kilograms,1.0
146,2003BeachPorewaterWrackdata.csv,Total Brown wrack kg,total brown wrack kilograms,Total Brown wrack Kilograms,1.0
147,2003BeachPorewaterWrackdata.csv,Total Wrack kg,total wrack kilograms,Total Wrack Kilograms,1.0
148,2003BeachPorewaterWrackdata.csv,Total Cover m,total cover meters,Total Cover Meters,1.0
149,2003BeachPorewaterWrackdata.csv,Macrocystis cover m,macrocystis cover meters,Macrocystis cover Meters,1.0
150,2003BeachPorewaterWrackdata.csv,Phyllospadix cover m,phyllospadix cover meters,Phyllospadix cover Meters,1.0
151,2006-2007_JD_SnowShrub_NetNmineralization.csv,Vegetation type,vegetation type,Vegetation Type,1.0
152,2006-2007_JD_SnowShrub_NetNmineralization.csv,Treatment,treatment,Treatment,1.0
153,2006-2007_JD_SnowShrub_NetNmineralization.csv,Plot,plot,Plot,1.0
154,2006-2007_JD_SnowShrub_NetNmineralization.csv,Season collected,season collected,Season Collected,1.0
155,2006-2007_JD_SnowShrub_NetNmineralization.csv,Soil type,soil type,Soil Type,1.0
156,2006-2007_JD_SnowShrub_NetNmineralization.csv,Incubation location,incubation location,Incubation Location,1.0
157,2006-2007_JD_SnowShrub_NetNmineralization.csv,Time point,time point,Time Point,1.0
158,2006-2007_JD_SnowShrub_NetNmineralization.csv,Days incubated,days incubated,Days Incubated,1.0
159,2006-2007_JD_SnowShrub_NetNmineralization.csv,bulk density,bulk density,Bulk Density,1.0
160,2006-2007_JD_SnowShrub_NetNmineralization.csv,Bulk soil % N initial,bulk soil percentage nitrogen initial,Bulk Soil Percentage Nitrogen Initial,1.0
161,2006-2007_JD_SnowShrub_NetNmineralization.csv,Bulk soil % C initial,bulk soil percentage carbon initial,Bulk soil Percentage Carbon Initial,1.0
162,2006-2007_JD_SnowShrub_NetNmineralization.csv,Initial ammomium concentration,initial ammonium concentration,Initial Ammonium Concentration,1.0
163,2006-2007_JD_SnowShrub_NetNmineralization.csv,Initial nitrate concenctration,initial nitrate concentration,Initial Nitrate Concentration,1.0
164,2006-2007_JD_SnowShrub_NetNmineralization.csv,Net N-mineralization concentration,net nitrogen mineralization concentration,Net Nitrogen Mineralization Concentration,1.0
165,2006-2007_JD_SnowShrub_NetNmineralization.csv,Net N-nitrification concentration,net nitrogen nitrification concentration,Net Nitrogen Nitrification Concentration,1.0
166,2009_bacprods_Kling.csv,SortChem,sorted chemical,Sorting Chemical,1.0
167,2009_bacprods_Kling.csv,Site,site,Site,1.0
168,2009_bacprods_Kling.csv,Date,date,Date,1.0
169,2009_bacprods_Kling.csv,Time_hr_(DST),time hours daylight saving time,Time Hour Daylight Saving Time,1.0
170,2009_bacprods_Kling.csv,Depth_m,depth meters,Depth Meters,1.0
171,2009_bacprods_Kling.csv,Bac_prod_ug_C_L_day,bacterial productivity micrograms of carbon per liter per day,Bacterial Production Micrograms Carbon Liter Day,1.0
172,2010_Toolik_Inlet_Kling.csv,Date_Time,date time,Date Time,1.0
173,2010_Toolik_Inlet_Kling.csv,Water_Temp_C,water temperature celsius,Water Temperature Celsius,1.0
174,2010_Toolik_Inlet_Kling.csv,Conductivity_uScm,conductivity microsiemens per centimeter,Conductivity microSiemens per centimeter,1.0
175,2010_Toolik_Inlet_Kling.csv,Q_m3sec,,Discharge Cubic Meters per Second,
176,2011ARF_AbvgrdBiomassCN_mod.csv,Date,date,Date,1.0
177,2011ARF_AbvgrdBiomassCN_mod.csv,Site,site,Site,1.0
178,2011ARF_AbvgrdBiomassCN_mod.csv,Fire disturbance,fire disturbance,Fire disturbance,1.0
179,2011ARF_AbvgrdBiomassCN_mod.csv,Growth Form,growth form,Growth Form,1.0
180,2011ARF_AbvgrdBiomassCN_mod.csv,Species,species,Species,1.0
181,2011ARF_AbvgrdBiomassCN_mod.csv,Tissue,tissue,Tissue,1.0
182,2011ARF_AbvgrdBiomassCN_mod.csv,Biomass Categroy,biomass category,Biomass Category,1.0
183,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q1,,103 Quantile 1,
184,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q2,,103 Quantile 2,
185,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q3,,103 Quantile 3,
186,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q4,,,
187,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q5,,,
188,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q6,,,
189,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q7,,,
190,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q8,,,
191,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q9,,,
192,2011ARF_AbvgrdBiomassCN_mod.csv,103-Q10,,,
193,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q1,,,
194,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q2,,,
195,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q3,,,
196,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q4,,104 Question 4,
197,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q5,,104 Question 5,
198,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q6,,104 Question 6,
199,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q7,,104 Question 7,
200,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q8,,104 Question 8,
201,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q9,,104 Question 9,
202,2011ARF_AbvgrdBiomassCN_mod.csv,104-Q10,,104 Question 10,
203,2011ARF_AbvgrdBiomassCN_mod.csv,Average (g/m2),average grams per square meter,Average Grams per Square Meter,1.0
204,2011ARF_AbvgrdBiomassCN_mod.csv,Std Err (g/m2),standard error grams per square meter,Standard Error Grams per Square Meter,1.0
205,2011ARF_AbvgrdBiomassCN_mod.csv,count,count,Count,1.0
206,2011ARF_AbvgrdBiomassCN_mod.csv,%C 103 Q1-5,,Percentage Carbon 103 Quadrats 1 to 5,
207,2011ARF_AbvgrdBiomassCN_mod.csv,%N 103 Q1-5,,Percentage Nitrogen 103 Quadrats 1 to 5,
208,2011ARF_AbvgrdBiomassCN_mod.csv,%C 103 Q6-10,,Percentage Carbon 103 Quadrats 6 to 10,
209,2011ARF_AbvgrdBiomassCN_mod.csv,%N 103 Q6-10,,Percentage Nitrogen 103 Quadrats 6 to 10,
210,2011ARF_AbvgrdBiomassCN_mod.csv,%C 104 Q1-5,,Percentage Carbon 104 Quadrats 1 to 5,
211,2011ARF_AbvgrdBiomassCN_mod.csv,%N 104 Q1-5,,Percentage Nitrogen 104 Quadrats 1 to 5,
212,2011ARF_AbvgrdBiomassCN_mod.csv,%C 104 Q6-10,,Percentage Carbon 104 Quadrats 6 to 10,
213,2011ARF_AbvgrdBiomassCN_mod.csv,%N 104 Q6-10,,Percentage Nitrogen 104 Quadrats 6 to 10,
214,2011_CSASN_I8In_well6_Depth.csv,River,river,,
215,2011_CSASN_I8In_well6_Depth.csv,Well Number,well number,,
216,2011_CSASN_I8In_well6_Depth.csv,Date,date,,
217,2011_CSASN_I8In_well6_Depth.csv,Time,time,,
218,2011_CSASN_I8In_well6_Depth.csv,Depth,depth,,
219,2011_CSASN_PeatInlet_Q.csv,River,river,,
220,2011_CSASN_PeatInlet_Q.csv,Date,date,,
221,2011_CSASN_PeatInlet_Q.csv,Time,time,,
222,2011_CSASN_PeatInlet_Q.csv,Q,,Discharge,
223,2011_Toolik_Inlet_Kling.csv,﻿Date_Time,date time,Date Time,1.0
224,2011_Toolik_Inlet_Kling.csv,Water_Temp_C,water temperature celsius,Water Temperature Celsius,1.0
225,2011_Toolik_Inlet_Kling.csv,Conductivity_uScm,conductivity microsiemens per centimeter,Conductivity microSiemens per centimeter,1.0
226,2011_Toolik_Inlet_Kling.csv,Q_m3sec,,Discharge Cubic Meters per Second,
227,2012-2020_Kling_Akchem.02.csv,SortChem,sort chemical,Sort Chemical,1.0
228,2012-2020_Kling_Akchem.02.csv,Site,site,Site,1.0
229,2012-2020_Kling_Akchem.02.csv,Date,date,Date,1.0
230,2012-2020_Kling_Akchem.02.csv,Time_hr_dst,time hours daylight savings time,Time Hour Daylight Saving Time,1.0
231,2012-2020_Kling_Akchem.02.csv,Depth_m,depth meters,Depth Meters,1.0
232,2012-2020_Kling_Akchem.02.csv,Distance_km,distance kilometers,Distance Kilometers,1.0
233,2012-2020_Kling_Akchem.02.csv,Elevation_m,elevation meters,Elevation Meters,1.0
234,2012-2020_Kling_Akchem.02.csv,Description_Treatment,description treatment,Description Treatment,1.0
235,2012-2020_Kling_Akchem.02.csv,Catsort,category sort,Category Sort,1.0
236,2012-2020_Kling_Akchem.02.csv,water_type,water type,Water Type,1.0
237,2012-2020_Kling_Akchem.02.csv,Temp_C,temperature celsius,Temperature Celsius,1.0
238,2012-2020_Kling_Akchem.02.csv,Cond_uS,conductivity microsiemens,Conductivity MicroSiemens,1.0
239,2012-2020_Kling_Akchem.02.csv,pH,potential of hydrogen,pH,0.0
240,2012-2020_Kling_Akchem.02.csv,Alk_ueqL,alkalinity microequivalents per liter,Alkalinity Microequivalents per Liter,1.0
241,2012-2020_Kling_Akchem.02.csv,PCO2_uatm,partial pressure carbon dioxide microatmospheres,Partial Pressure of Carbon Dioxide Microatmospheres,1.0
242,2012-2020_Kling_Akchem.02.csv,PCH4_uatm,partial pressure methane microatmospheres,Partial Pressure of Methane Microatmospheres,1.0
243,2012-2020_Kling_Akchem.02.csv,CO2_uM,carbon dioxide micromoles,Carbon Dioxide Micromolar,1.0
244,2012-2020_Kling_Akchem.02.csv,CH4_uM,methane micromoles,Methane Micromolar,1.0
245,2012-2020_Kling_Akchem.02.csv,DOC_uM,dissolved organic carbon micromoles,Dissolved Organic Carbon Micromolar,1.0
246,2012-2020_Kling_Akchem.02.csv,NH4_uM,ammonium micromoles,Ammonium Micromolar,1.0
247,2012-2020_Kling_Akchem.02.csv,PO4_uM,phosphate micromoles,Phosphate micromolar,1.0
248,2012-2020_Kling_Akchem.02.csv,NO3_uM,nitrate micromoles,Nitrate micromolar,1.0
249,2012-2020_Kling_Akchem.02.csv,TDN_uM,total dissolved nitrogen micromoles,Total Dissolved Nitrogen micromolar,1.0
250,2012-2020_Kling_Akchem.02.csv,TDP_uM,total dissolved phosphorus micromoles,Total Dissolved Phosphorus micromolar,1.0
251,2012-2020_Kling_Akchem.02.csv,PC_ugL,particulate carbon in micrograms per liter,Particulate Carbon micrograms per Liter,1.0
252,2012-2020_Kling_Akchem.02.csv,PN_ugL,particulate nitrogen in micrograms per liter,Particulate Nitrogen micrograms per Liter,1.0
253,2012-2020_Kling_Akchem.02.csv,PP_uM,particulate phosphorus in micromoles,Particulate Phosphorus micromolar,1.0
254,2012-2020_Kling_Akchem.02.csv,Ca_uM,calcium in micromoles,Calcium micromolar,1.0
255,2012-2020_Kling_Akchem.02.csv,Mg_uM,magnesium in micromoles,Magnesium micromolar,1.0
256,2012-2020_Kling_Akchem.02.csv,Na_uM,sodium micromoles,Sodium micromolar,1.0
257,2012-2020_Kling_Akchem.02.csv,K_uM,potassium micromoles,Potassium micromolar,1.0
258,2012-2020_Kling_Akchem.02.csv,Si_uM,silicon micromoles,Silicon micromolar,1.0
259,2012-2020_Kling_Akchem.02.csv,SO4_uM,sulfate micromoles,Sulfate micromolar,1.0
260,2012-2020_Kling_Akchem.02.csv,Cl_uM,chloride micromoles,Chloride micromolar,1.0
261,2012-2020_Kling_Akchem.02.csv,Chla_ugL,chlorophyll a micrograms per liter,Chlorophyll-a micrograms per Liter,1.0
262,2012-2020_Kling_Akchem.02.csv,Phaeopigment_ugL,phaeopigment micrograms per liter,Phaeopigment micrograms per Liter,1.0
263,2012-2020_Kling_Akchem.02.csv,Chla_Raw_ugL,chlorophyll a raw micrograms per liter,Raw Chlorophyll-a micrograms per Liter,0.0
264,2012-2020_Kling_Akchem.02.csv,Thaw_depth_cm,thaw depth centimeters,Thaw depth centimeters,1.0
265,2012-2020_Kling_Akchem.02.csv,5cm_Soil_tempC,5 centimeters soil temperature celsius,5 centimeters Soil temperature Celsius,1.0
266,2012-2020_Kling_Akchem.02.csv,10cm_Soil_tempC,10 centimeters soil temperature celsius,10 centimeters Soil temperature Celsius,1.0
267,2012_2016_jcw_nestsurvival.csv,Nest_ID,nest identifier,Nest Identifier,1.0
268,2012_2016_jcw_nestsurvival.csv,species,species,Species,1.0
269,2012_2016_jcw_nestsurvival.csv,site,site,Site,1.0
270,2012_2016_jcw_nestsurvival.csv,Egg_ID,egg identifier,Egg Identifier,1.0
271,2012_2016_jcw_nestsurvival.csv,date,date,Date,1.0
272,2012_2016_jcw_nestsurvival.csv,Alive,alive,Alive,1.0
273,2012_2016_jcw_nestsurvival.csv,prev.obs,previous observation,Previous Observation,1.0
274,2012_2016_jcw_nestsurvival.csv,Interval,interval,Interval,1.0
275,2012_2016_jcw_nestsurvival.csv,Renest,renest,Renest,1.0
276,2012_2016_jcw_nestsurvival.csv,Researcher_Death,researcher death,Researcher Death,1.0
277,2012_2016_jcw_nestsurvival.csv,Est_CI,estimated clutch initiation,Estimate Confidence Interval,0.0
278,2012_2016_jcw_nestsurvival.csv,Est_Final_Egglay,estimated final egg lay,Estimate Final Egg Laying,1.0
279,2012_GS_PFandCH_GPS.csv,YEAR,year,Year,1.0
280,2012_GS_PFandCH_GPS.csv,DATE,date,Date,1.0
281,2012_GS_PFandCH_GPS.csv,SITE,site,Site,1.0
282,2012_GS_PFandCH_GPS.csv,GROUP,group,Group,1.0
283,2012_GS_PFandCH_GPS.csv,PLOT,plot,Plot,1.0
284,2012_GS_PFandCH_GPS.csv,TREATMENT,treatment,Treatment,1.0
285,2012_GS_PFandCH_GPS.csv,PLOT SIZE,plot size,Plot Size,1.0
286,2012_GS_PFandCH_GPS.csv,N LAT,north latitude,North Latitude,1.0
287,2012_GS_PFandCH_GPS.csv,W LONG,west longitude,West Longitude,1.0
288,2012_GS_PFandCH_GPS.csv,ELEVATION,elevation,Elevation,1.0
289,2012_GS_PFandCH_GPS.csv,DOM VEG,dominant vegetation,Dominant Vegetation,1.0
290,2012_GS_PFandCH_GPS.csv,LAT/LONG ACCURACY,latitude/longitude accuracy,Latitude/Longitude Accuracy,1.0
291,2012_GS_PFandCH_GPS.csv,MEASUREMENT,measurement,Measurement,1.0
292,2012_GS_PFandCH_GPS.csv,NOTES,notes,Notes,1.0
293,2012_Toolik_Inlet_Kling.csv,Date_Time,date time,Date Time,1.0
294,2012_Toolik_Inlet_Kling.csv,Water_Temp_C,water temperature celsius,Water Temperature Celsius,1.0
295,2012_Toolik_Inlet_Kling.csv,Conductivity_uScm,conductivity microsiemens per centimeter,Conductivity microSiemens per centimeter,1.0
296,2012_Toolik_Inlet_Kling.csv,Q_m3sec,,Discharge Cubic Meters per Second,
297,2013_Toolik_Inlet_Kling.csv,Date_Time,date time,Date Time,1.0
298,2013_Toolik_Inlet_Kling.csv,Water_Temp_C,water temperature celsius,Water Temperature Celsius,1.0
299,2013_Toolik_Inlet_Kling.csv,Conductivity_uScm,conductivity microsiemens per centimeter,Conductivity microSiemens per centimeter,1.0
300,2013_Toolik_Inlet_Kling.csv,Q_m3sec,,Discharge Cubic Meters per Second,
301,2014MAT81lgcover.csv,﻿Year,year,,
302,2014MAT81lgcover.csv,Site,site,,
303,2014MAT81lgcover.csv,Treatment,treatment,,
304,2014MAT81lgcover.csv,Block,block,,
305,2014MAT81lgcover.csv,Plot,plot,,
306,2014MAT81lgcover.csv,Species,species,,
307,2014MAT81lgcover.csv,Relative Cover,relative cover,,
308,2014MAT81lgcover.csv,Plant name or category,plant name or category,,
309,2014MAT81lgcover.csv,Accepted Latin Name or category,accepted latin name or category,,
310,2014_Toolik_Inlet_Kling.csv,Date_Time,date time,Date Time,1.0
311,2014_Toolik_Inlet_Kling.csv,Water_Temp_C,water temperature celsius,Water Temperature Celsius,1.0
312,2014_Toolik_Inlet_Kling.csv,Conductivity_uScm,conductivity microsiemens per centimeter,Conductivity Microsiemens Centimeter,1.0
313,2014_Toolik_Inlet_Kling.csv,Q_m3sec,,Discharge Cubic Meters Second,
314,2015_Toolik_Inlet_Kling.csv,﻿Date_Time,date time,Date Time,1.0
315,2015_Toolik_Inlet_Kling.csv,Water_Temp_C,water temperature celsius,Water Temperature Celsius,1.0
